Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasolina 95 E5 Premium;Precio gasolina 98 E5;Precio gasolina 98 E10;Precio gasóleo A;Precio gasóleo Premium;Precio gasóleo B;Precio gasóleo C;Precio bioetanol;Precio biodiésel;Precio gases licuados del petróleo;Precio gas natural comprimido;Precio gas natural licuado;Precio hidrógeno;% bioalcohol;% éster metílico;Rótulo;Tipo venta;Rem.;Horario;Tipo servicio;
CADREITA;31515;EXTRAMUROS S/N;N;-1,686472;42,217667;13/11/2023 16:31;;;;;;;;1,245;;;;;;;;;;(SIN ROTULO);R;dm;L-D: 24H;L-D: 24H (A);
SOLANA (LA);13240;CALLE COOPERATIVAS, 2;D;-3,249639;38,944722;10/11/2023 10:30;;;;;;;;1,15;;;;;;;;;;(SIN ROTULO);R;dm;L-S: 07:30-14:30 y 16:00-19:30;L-S: 07:30-14:30 (A), 16:00-19:30 (A);
CAMAS;41900;CARRETERA EXTREMADURA KM. 28;D;-6,035972;37,415194;14/11/2023 14:00;1,544;;;1,844;;1,494;;;;;;0,934;;;;;;(SIN ROTULO);P;dm;L-D: 24H;L-D: 24H (A);
MONTERROSO;27560;AVENIDA DE LA CORUNA,, 19;I;-7,838278;42,793889;15/11/2023 0:00;1,659;;;;;1,639;;1,379;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 07:00-00:00;L-D: 07:00-00:00 (A);
MIAJADAS;10100;AVENIDA DE LOS GREMIOS, 15,17;D;-5,919222;39,141778;13/11/2023 9:32;;;;;;;;1,149;;;;;;;;;;(SIN ROTULO);R;dm;L-D: 24H;L-D: 24H (A);
MALIANO;39600;AVENIDA TORNADA, S/N;N;-3,804917;43,434694;13/11/2023 19:53;1,66;;;;;1,62;;;;;;;;;;;;(SIN ROTULO);P;dm;"L-S: 09:00-14:00 y 16:30-18:30; D: 09:00-14:00";"L-S: 09:00-14:00 (P), 16:30-18:30 (P); D: 09:00-14:00 (P)";
ZAHINOS;6129;CARRETERA HIGUERA DE VARGAS KM. 1,3;D;-6,957583;38,336056;08/11/2023 20:07;;;;;;1,489;;1,139;;;;;;;;;;(SIN ROTULO);P;dm;L: 06:30-22:30;L: 06:30-22:30 (A);
CALVELO;36120;CALLE TENORIO, 1;D;-8,570861;42,4535;14/11/2023 10:32;1,639;;;1,771;;1,659;1,769;;;;;;;;;;;(SIN ROTULO);P;dm;"L-S: 07:00-22:30; D: 08:00-22:30";Sin datos;
HUETOR-SANTILLAN;18183;AUTOVIA A-92 KM. 256;D;-3,497222;37,233889;15/11/2023 0:00;1,609;;;1,729;;1,639;1,709;;;;;;;;;;;(SIN ROTULO);P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);
CASARICHE;41580;CARRETERA DE ESTEPA, 19;D;-4,764528;37,295972;13/11/2023 14:21;;;;;;1,49;;1,12;;;;;;;;;;(SIN ROTULO);R;dm;L-D: 06:00-10:00;L-D: 06:00-10:00 (A);
NAMBROCA;45190;CALLE CASTILLA LA MANCHA, 20;D;-3,960806;39,828;06/11/2023 17:18;1,57;;;;;1,615;;;;;;;;;;;;(SIN ROTULO);P;dm;L-S: 08:00-21:00;L-S: 08:00-21:00 (D);
HABA (LA);6714;CALLE VILLANUEVA, 46;D;-5,800556;38,922167;13/11/2023 14:10;1,639;;;1,839;;1,659;1,759;1,449;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 07:00-14:25 y 14:30-22:00;L-D: 07:00-14:25 (A), 14:30-22:00 (A);
JARAIZ DE LA VERA;10400;CALLE HERNAN CORTES, 84;D;-5,747278;40,059528;14/11/2023 8:52;1,559;;;;;1,499;;;;;;;;;;;;PETROL STATION;P;dm;L-D: 24H;L-D: 24H (A);
CASTILLEJAR;18818;CARRETERA BENAMAUREL-HUESCAR KM. 13;N;-2,639861;37,717806;13/11/2023 7:00;1,629;;;1,799;;1,619;1,669;1,279;;;;;;;;;; AGLA;P;dm;L-D: 06:00-23:30;L-D: 06:00-23:30 (A);
CARCAIXENT;46740;CALLE EMILIO DONAT, S/N;N;-0,455028;39,115528;07/11/2023 11:02;1,495;;;;;1,505;;1,295;;;;;;;;;; AGRICAR;P;dm;L-D: 24H;L-D: 24H (A);
ANOVER DE TAJO;45250;TRAVESIA DESVIO, 19;N;-3,766194;39,993278;15/11/2023 0:06;1,689;;;;;1,689;1,789;;;;;;;;;;; BP  ALOD;P;dm;"L-V: 07:00-20:00; S-D: 08:30-14:00";"L-V: 07:00-20:00 (P); S-D: 08:30-14:00 (P)";
SANTA CRUZ DE TENERIFE;38005;AVENIDA TRES DE MAYO, 85;N;-16,261417;28,457722;15/11/2023 0:00;1,299;;;1,429;;1,279;1,389;;;;;;;;;;; BP AVENIDA 3 DE MAYO;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A);
CASTELLO DE RUGAT;46841;CL  CANI REAL 83;N;-0,376333;38,874139;14/11/2023 19:05;1,622;;;1,779;;1,609;1,719;1,29;;;;;;;;;; BP BENICADELL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);
CA'N PICAFORT;7458; CARRETERA ARTA-PTO.ALCUDIA,99, ;N;3,152361;39,762;13/11/2023 9:09;1,709;;;1,868;;1,719;1,809;;;;;;;;;;; BP CA SESTRELLA;P;dm;L-S: 06:30-21:00;L-S: 06:30-21:00 (A);
ALMERIA;4009;CALLE CUESTA DE LOS CALLEJONES, 0;N;-2,448639;36,865528;15/11/2023 0:00;1,629;;;1,771;;1,689;1,779;;;;;;;;;;; BP RAMBLA INIESTA;P;OM;L-D: 24H;L-D: 24H (A);
SANT LLUIS;7710;AVENIDA DE SA PAU, 6;N;4,259056;39,852722;14/11/2023 9:30;1,729;;;;;1,719;1,819;;;;;;;;;;; BP SAN LUIS;P;dm;L-D: 24H;L-D: 00:00-06:00 (D), 06:00-23:00 (A), 23:00-23:59 (D);
BARBERA DEL VALLES;8210;CR DE RIPOLLET A SANTIGA KM  2,4;N;2,14825;41,518694;13/11/2023 9:56;1,699;;;1,839;;1,659;1,749;1,349;;;;;;;;;; BP SANTIGA;P;dm;L-D: 24H;L-D: 24H (A);
SANTA CRUZ DE TENERIFE;38108;CARRETERA GENERAL DEL SUR KM. 6,9;N;-16,303528;28,440222;15/11/2023 0:00;1,299;;;1,429;;1,279;1,389;;;;;;;;;;; BP TACO;P;OM;L-D: 24H;L-D: 24H (A);
CULLAR;18850;AUTOVIA A/92 KM. 354;I;-2,614111;37,553444;14/11/2023 12:11;1,629;;;1,789;;1,649;1,759;;;;;0,989;;;;;; BP VENTA DEL PERAL II;P;dm;L-D: 24H;L-D: 24H (A);
ALCORCON;28925;AV  DE MOSTOLES, Nº 6;N;-3,831694;40,350389;15/11/2023 0:00;1,669;;1,729;;;1,685;1,785;;;;;0,919;;;;;; CEPSA LISBOA ;P;OM;L-D: 00:00-23:59;Sin datos;
VALENCIA;46009;CALLE LLANO DE LA ZAIDIA, 6;D;-0,3785;39,483056;14/11/2023 14:00;1,639;;;1,809;;1,579;1,669;;;;;;;;;;; E.S. LA TORRETA;P;dm;L-D: 24H;L-D: 24H (A);
VALENCIA;46026;AVENIDA AUSIAS MARCH, 44;D;-0,373222;39,452639;14/11/2023 14:00;1,639;;;1,809;;1,579;1,669;;;;;;;;;;; E.S. SUR;P;dm;L-D: 24H;L-D: 24H (A);
NINO (EL);30194;CARRETERA CARAVACA KM. 32,320;D;-1,540639;38,054472;13/11/2023 10:25;1,45;;;;;1,43;1,49;1,14;;;;;;;;;; EL NINO COMBUSTIBLES;P;dm;L: 06:00-22:00;L: 06:00-22:00 (A);
OLIVARES;41804;CARRETERA SE-510 KM. 10,850;N;-6,139639;37,422222;14/11/2023 9:44;1,489;;;;;1,468;1,568;;;;;;;;;;; EL OLIVO;P;dm;L-D: 24H;L-D: 24H (A);
GABIA GRANDE;18110;CALLE PROGRESO, 72;N;-3,660389;37,137361;13/11/2023 11:50;1,548;;;1,85;;1,499;;;;;;;;;;;; LAS GABIAS;P;dm;L-V: 06:00-22:00;L-V: 06:00-22:00 (A);
MONTORNES CENTRE;8170;AVENIDA RIU MOJENT ESQ CARLES RIBA, S/N;N;2,270806;41,554444;14/11/2023 13:58;1,539;;;1,739;;1,469;1,499;;;;;;;;;;; NUROIL;P;dm;L-D: 24H;Sin datos;
SAGUNTO;46500;AVENIDA DE LA VILA, SN;N;-0,265361;39,678333;13/11/2023 10:14;1,495;;;1,734;;1,465;1,515;;;;;0,83;;;;;; OCTAPLUS;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A);
UBEDA;23400;CL AVENIDA DE LA LIBERTAD 76;D;-3,363806;38,016278;14/11/2023 14:30;1,618;;;1,728;;1,678;1,738;1,258;;;;;;;;;; REPSOL UBEDA;P;dm;L-D: 06:30-22:30;L-V: 06:30-22:30 (A);
LORCA;30800;CAMINO CAMINO HONDO RONDA SUR, 1;D;-1,698778;37,658722;08/11/2023 22:00;1,599;;;1,699;;1,599;1,699;;;;;0,997;;;;;; SUTULLENA-CEPSA;P;dm;L-D: 24H;L-D: 24H (A);
ONIL;3430;CALLE POL LA MARJAL C/LLEBEIG, 21;I;-0,670417;38,612972;14/11/2023 8:19;1,629;;;1,779;;1,569;;;;;;;;;;;; T. ALBERO;P;dm;L-D: 24H;L-D: 24H (A);
PALMAR EL;11159;CARRETERA A-2230 KM. 7,1;N;-6,063889;36,238306;14/11/2023 7:00;1,594;;;;;1,603;1,694;;;;;;;;;;;"""BP""";P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);
SANT HILARI SACALM;17403;PASEO FONT DEL CIRERER, 43;N;2,505806;41,878333;13/11/2023 7:31;1,679;;;1,829;;1,629;1,719;1,399;;;;;;;;;;"""BP""";P;dm;"L-S: 06:00-22:00; D: 07:00-22:00";"L-S: 06:00-22:00 (A); D: 07:00-22:00 (A)";
VILOBI D'ONYAR;17185;CARRETERA GIRONA SANTA COLOAM FARNERS KM. 13;I;2,731972;41,892056;13/11/2023 9:29;1,679;;;1,829;;1,629;1,719;1,429;;;;;;;;;;"""BP""";P;dm;"L-S: 06:00-22:00; D: 07:00-22:00";"L: 06:00-07:59 (A), 07:59-14:00 (P), 14:00-17:00 (A), 17:00-22:00 (P); M-V: 06:00-08:00 (A), 08:00-14:00 (P), 14:00-17:00 (A), 17:00-22:00 (P); S: 06:00-10:00 (A), 10:00-14:00 (P), 14:00-17:00 (A), 17:00-22:00 (P); D: 07:00-10:00 (A), 10:00-14:30 (P), 14:30-17:00 (A), 17:00-22:00 (P)";
BADAJOZ;6010;CARRETERA DE VALVERDE KM. 3,200;I;-6,966111;38,846028;13/11/2023 8:19;1,649;;;1,779;;1,669;1,759;;;;;;;;;;;"""BP"" ROTONDA LAS VAGUADAS S.L.";P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);
BEGUR;17255;CARRER DE LA CREU, 30;N;3,206028;41,951194;11/11/2023 0:00;1,692;;;1,836;;1,653;1,744;;;;;;;;;;;"""BP""BEGUR";P;dm;L-D: 08:00-14:00 y 17:00-20:00;L-D: 08:00-14:00 (A), 17:00-20:00 (A);
PALAFRUGELL;17200;CARRER JOAN MARAGALL, 1;N;3,156833;41,917917;11/11/2023 0:00;1,692;;;1,836;;1,653;1,744;;;;;;;;;;;"""BP""PROPERLY, S.A.";P;dm;L-D: 06:00-22:00;Sin datos;
SANTA MARIA DE LOS LLANOS;16639;CALLE CARRETERILLA, 38;D;-2,807944;39,491694;13/11/2023 15:47;;;;;;1,5;;1,12;;;;;;;;;;"""SAN ISIDRO LABRADOR""SOC.COOP.CLM";R;dm;L-D: 24H;L-D: 24H (A);
BENITACHELL;3726;CARRETERA CV-740 KM. 6,800;I;0,152139;38,738972;13/11/2023 10:59;1,669;;;1,819;;1,569;;;;;;0,999;;;;;;(SIN ROTULO);P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (P);
MAEZTU/MAESTU;1120;CARRETERA A-132 VITORIA-ESTELLA KM. 23;I;-2,477917;42,753194;13/11/2023 10:30;1,635;;;1,78;;1,555;;;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P);
CASTILBLANCO;6680;CARRETERA N-502 KM. 216,500;D;-5,106083;39,281222;14/11/2023 9:40;1,665;;;;;1,659;;1,329;;;;;;;;;;(SIN ROTULO);P;dm;"L-X: 07:00-20:00; V-D: 07:00-20:00";"L-X: 07:00-20:00 (A); V-D: 07:00-20:00 (A)";
CALAF;8280;CARRETERA MANRESA A ST. GUIM, KM. 32,400;N;1,513667;41,729722;13/11/2023 8:37;1,527;;;1,689;;1,517;1,537;1,154;;;;;;;;;;(SIN ROTULO);P;dm;"L-V: 07:00-21:30; S: 08:00-14:00 y 17:00-21:30; D: 09:00-14:00";"L-V: 07:00-21:30 (P); S: 08:00-14:00 (P), 17:00-21:30 (P); D: 09:00-14:00 (P)";
SOBA;39806;BARRIO SAN JUAN DE SOBA (CTRA- COMARCAL RAMALES-VALLE D km 6,4);I;-3,472361;43,209722;13/11/2023 16:10;1,63;;;;;1,599;;1,24;;;;;;;;;;(SIN ROTULO);P;dm;"L-V: 07:00-13:00 y 15:00-19:00; S: 07:00-13:00";"L-V: 07:00-13:00 (A), 15:00-19:00 (A); S: 07:00-13:00 (A)";
ALIAGUILLA;16313; AVENIDA TEJEDA, 12;D;-1,327639;39,741444;13/11/2023 16:55;1,577;;;;;1,577;;1,149;;;;;;;;;;(SIN ROTULO);R;dm;L-D: 24H;L-D: 24H (A);
VINUELAS;19183;CR CM-1002 P.K. 26,70 D;D;-3,345389;40,798111;07/11/2023 10:44;1,799;;;;;1,759;;1,4;;;;;;;;;;(SIN ROTULO);P;dm;"L: 07:30-21:00; M-D: 07:30-21:00";"L: 07:30-21:00 (A); M-D: 07:30-21:00 (A)";
SANTO TOME;23311;CARRETERA CARRETERA DEL TRANCO KM. 44;D;-2,895139;37,995722;14/11/2023 15:14;1,798;;;;;1,746;;;;;;;;;;;;(SIN ROTULO);P;dm;L: 09:00-20:00;L: 09:00-20:00 (A);
BEMBIBRE;24300;PARQUE INDUSTRIAL PARCELA H km ...;N;-6,463417;42,618;14/11/2023 0:00;1,899;;;2;;1,8;1,905;;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 00:00-00:01;L-D: 00:00-00:01 (A);
GUARO;29108;CARRETERA GUARO - COIN KM. 1;N;-4,830389;36,662778;14/11/2023 15:21;1,698;;;;;1,668;;;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A);
ARTENARA;35350;CALLE LOMO EL PUERTO, 0;N;-15,644583;28,0195;08/11/2023 11:12;1,349;;;1,479;;1,339;;;;;;;;;;;;(SIN ROTULO);P;dm;"L-M: 08:00-19:00; X-D: 08:00-22:00";Sin datos;
BUGARRA;46165;CALLE CRISTOBAL MESEGUER, 12;N;-0,773389;39,609083;14/11/2023 11:56;1,669;;;;;1,659;;1,299;;;;;;;;;;(SIN ROTULO);P;dm;"L-S: 07:30-13:00 y 15:00-17:30; D: 09:30-13:30";"L-S: 07:30-13:00 (A), 15:00-17:30 (A); D: 09:30-13:30 (A)";
FUENTERROBLES;46314;CALLE PATROCINIO, 27;N;-1,363111;39,583417;13/11/2023 10:32;1,789;;;;;1,759;;1,395;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 24H;L-D: 24H (A);
GODELLETA;46388;CAMINO CHIVA, S/N;N;-0,682944;39,427556;10/11/2023 14:45;1,491;;;;;1,485;;1,127;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 24H;L-D: 24H (A);
VILLAR DEL ARZOBISPO;46170;PTDA. DE LAS SUERTES (SAN VICENTE );N;-0,833944;39,726;14/11/2023 9:40;;;;;;1,519;;1,199;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 24H;L-D: 24H (A);
VALMOJADO;45490;CALLE ALAMEDA DEL FRESNO, 14;D;-4,093222;40,208667;13/11/2023 10:02;;;;;;1,485;;1,213;;;;;;;;;;*;R;dm;L: 24H;L: 24H (A);
NAVA DE AREVALO;5216;CALLE LARGA, 22;N;-4,769778;41,021389;13/11/2023 10:25;;;;;;;;1,23;;;;;;;;;;******;R;dm;L-D: 24H;L-D: 24H (A);
CASASECA DE LAS CHANAS;49151;CARRETERA CL-605 FUENTESAUCO KM. 10;D;-5,672528;41,435333;13/11/2023 9:09;1,533;;;1,666;;1,466;1,499;;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 24H;L-D: 00:00-06:59 (D), 06:59-21:59 (P), 21:59-23:59 (D);
POBLA DE VALLBONA (LA);46185;CALLE AUGUSTO DANVILA, 181;N;-0,543222;39,589389;13/11/2023 11:06;1,559;;;1,835;;1,499;1,679;;;;;;;;;;;(SIN ROTULO);P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);
VALLE DE LA SERENA;6458;POLIGONO CTRA. HIGUERA DE LA SERENA, S/N;D;-5,796278;38,695278;13/11/2023 12:40;1,699;;;;;1,699;;1,289;;;;;;;;;;06/32718;P;dm;L-D: 07:00-14:00 y 15:00-22:00;L-D: 07:00-14:00 (A), 15:00-22:00 (A);
INIESTA;16235;CALLE SAN  ILDEFONSO, 1;D;-1,75275;39,443528;10/11/2023 9:57;;;;;;1,499;;1,139;;;;;;;;;;161100-09363;P;dm;L-D: 24H;L-D: 24H (D);
GRANOLLERS;8400;PASEO CONCA DEL BESOS, 26;N;2,278528;41,605;13/11/2023 9:56;1,539;;;;;1,499;;;;;;;;;;;;1PRIMER;P;dm;L-D: 24H;L-D: 24H (A);
RABITA (LA);23684;SAN JOSE - LA RABITA km 8,9;D;-4,054083;37,500528;13/11/2023 21:03;1,609;;;1,759;;1,629;;1,189;;;;;;;;;;23ESO68F;P;dm;L: 07:00-23:00;L: 07:00-23:00 (A);
ARCHENA;30600;CARRETERA MU-554 POLIGONO INDUSTRIAL LA CAPELLANIA KM. 1;D;-1,276583;38,117444;11/11/2023 18:55;1,549;;1,569;;;1,509;1,539;;;;;;;;;;;24H;P;dm;L-D: 24H;L-D: 24H (P);
ASTIGARRAGA;20115;CARRETERA GI-2132 ASTIGARRAGA-OIARTZUN KM. 10;N;-1,916778;43,281972;15/11/2023 6:00;1,619;;;;;1,529;;;;;;;;;;;;2OIL - BI OIL;P;dm;"L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00";"L-V: 06:00-22:00 (A); S: 07:00-22:00 (A); D: 08:00-22:00 (A)";
SANT JOAN DESPI;8970;MOSSEN JACINTO VERDAGUER, 83-85;N;2,072843;41,374639;13/11/2023 15:46;1,699;;;1,849;;1,649;;;;;;;;;;;;3 PUNT TRES;P;dm;L-D: 24H;L-D: 24H (A);
GERENA;41860;CALLE GARCIA CEBALLOS, 0;D;-6,159194;37,527;13/11/2023 9:39;;;;;;1,59;;1,26;;;;;;;;;;395 2/2HS 40-80;R;dm;L-S: 08:00-14:00;L-S: 08:00-14:00 (A);
BENICARLO;12530;CAMI CAMINO FOSA PASTOR, S/N;D;0,436944;40,432583;01/11/2023 11:55;1,539;;;;;1,519;;;;;;;;;;;;3GS COMBUSTIBLES ;P;dm;L: 24H;L: 24H (D);
VALLE DE TRAPAGA;48510;BARRIO SALCEDILLO, S/N;N;-3,037222;43,305;13/11/2023 9:45;;;;;;1,503;;;;;;;;;;;;686 TLP;R;dm;L-V: 06:00-20:00;L-V: 06:00-20:00 (A);
PAZOS;36841;CARRETERA REDONDELA - PAZOS KM. 5;I;-8,551944;42,293556;13/11/2023 12:50;1,629;;;;;1,659;1,769;1,399;;;;;;;;;;A CHAN DE AMOEDO;P;dm;L-D: 07:00-23:00;Sin datos;
PONTECESURES;36640;RUA REDONDO, 56;D;-8,651139;42,712417;13/11/2023 8:50;1,569;;;1,699;;1,549;1,629;;;;;;;;;;;A PALMEIRA;P;dm;L: 06:00-23:00;Sin datos;
ALBACETE;2005;AVENIDA ESCRITOR RODRIGO RUBIO, 3;D;-1,885361;39,006889;14/11/2023 0:01;1,558;;;;;1,518;1,578;;;;;0,828;;;;;;A&A;P;dm;L-S: 09:00-21:30;Sin datos;
PUEBLA DEL RIO (LA);41130;CALLE CARRIZALES, 2;D;-6,076583;37,261111;14/11/2023 14:06;1,579;;;;;1,489;;;;;;;;;;;;A&B ;P;dm;L-D: 24H;L-D: 24H (A);
PIEDRAS BLANCAS;33450;AVDA. PRINCIPAL, 37;N;-5,981028;43,557306;11/11/2023 11:05;1,565;;;1,685;;1,499;1,499;;;;;;;;;;;A. G. ;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);
CULLAR;18850;CR N-342, 156;D;-2,578167;37,583083;13/11/2023 13:57;1,529;;;1,649;;1,539;;1,199;;;;;;;;;;A.AGUAZA;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P);
JALON;3727;AVDA. GENERALITAT VALENCIANA, 4;D;-0,009028;38,738444;15/11/2023 0:00;1,659;;;;;1,645;1,705;1,369;;;;;;;;;;A.ESTELA;P;OM;L: 06:00-22:00;L: 06:00-22:00 (A);
ARCOS (LOS);31210;CARRETERA CARRETERA LOS ARCOS-ACEDO KM. 1,5;D;-2,198417;42,577278;13/11/2023 16:00;;;;;;1,519;;1,159;;;;;;;;;;A.N. ENERGETICOS - LOS ARCOS;P;dm;L-D: 24H;L-D: 24H (A);
PERALTA;31350;AVENIDA SAN SILVESTRE, S/N;N;-1,809778;42,337694;14/11/2023 16:26;1,543;;;;;1,513;;1,085;;;;;;;;;;A.N. ENERGETICOS, S.L - PERALTA;P;dm;L-D: 24H;L-D: 24H (A);
ALDEANUEVA DE EBRO;26559;AVENIDA AVENIDA GONZALO BERCEO, 88;N;-1,891972;42,226917;14/11/2023 9:35;1,633;;;;;1,524;;1,234;;;;;;;;;;A.N. ENERGETICOS-ALDEANUEVA;P;dm;L-D: 24H;L-D: 24H (A);
FUENTESAUCO FUENTIDUENA;40355;CARRETERA FUENTESAUCO - VEGAFRIA KM. 0,6;I;-4,064667;41,428611;14/11/2023 9:00;1,549;;;;;1,519;;1,053;;;;;;;;;;A.N. GLUS;P;dm;L-D: 24H;L-D: 24H (A);
GRANOLLERS;8400;CALLE MATARO, 40;D;2,277944;41,61025;13/11/2023 19:36;1,596;;;;;1,466;;;;;;;;;;;;A.O. LOW COST;P;dm;L-D: 24H;L-D: 24H (A);
CANTILLANA;41320;CARRETERA A-8005 KM. 21,5;D;-5,805278;37,576778;10/11/2023 12:14;1,609;;;1,899;;1,659;1,659;1,259;;;;0,889;;;;;;A.S LA ESTACION-AGLA;P;dm;L-D: 24H;L-D: 24H (A);
GUAZAMARA;4647;AVENIDA ANDALUCIA, ;D;-1,778194;37,347278;13/11/2023 14:30;1,629;;;1,949;;1,629;;1,299;;;;;;;;;;A.S. EL ARTINERO;P;dm;"L-S: 06:30-23:00; D: 07:00-23:00";"L-S: 06:30-23:00 (A); D: 07:00-23:00 (A)";
ESPINOSA DE LOS MONTEROS;9560;CALLE ESTACION, S/N;I;-3,542806;43,075361;13/11/2023 10:56;1,699;;;1,839;;1,649;1,719;1,309;;;;;;;;;;A.S. LA ESTACION DE ESPINOSA;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A);
MAIRENA DEL ALCOR;41510;CALLE CALZADA AUXILIAR BLAS INF, 1;D;-5,757139;37,364;13/11/2023 18:19;1,519;;;;;1,495;;;;;;;;;;;;A2D;P;dm;L-D: 24H;"L-V: 00:00-10:00 (D), 10:00-13:00 (A), 13:00-16:00 (D), 16:00-19:00 (A), 19:00-23:59 (D); S: 00:00-10:00 (D), 10:00-13:00 (A), 13:00-23:59 (D); D: 24H (D)";
QUART DE POBLET;46930;AVENIDA REAL MONASTERIO, 6, ;D;-0,433833;39,473472;14/11/2023 7:29;1,708;;;1,828;;1,658;1,738;;;;;;;;;;;A-3;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);
FERNAN NUNEZ;14520;CALLE GOYA 2 S/N, 0;D;-4,726278;37,676056;14/11/2023 11:40;;;;;;1,41;;1,06;;;;;;;;;;ABEN-CALEZ;R;dm;L-D: 24H;L-D: 24H (A);
ELCHE/ELX;3291;PARTIDA ALTABIX POLIGONO 3   (CAMINO DE CASTILLA), 37;D;-0,675417;38,29325;14/11/2023 9:04;1,665;;;1,815;;1,625;1,625;;;;;;;;;;;ABIERTO (SERVICIO ATENDIDO);P;dm;L-D: 06:30-22:00;Sin datos;
ALBACETE;2007;POLIGONO CAMPOLLANO AVENIDA -0-, 69;D;-1,879639;39,021972;13/11/2023 10:52;2,299;;;2,369;;2,259;;;;;;;;;;;;ABOIL;P;dm;"L-V: 07:00-21:00; S-D: 09:00-14:00";"L-V: 07:00-21:00 (P); S-D: 09:00-14:00 (P)";
VILAFRANCA DEL PENEDES;8720;AVINGUDA TARRAGONA, 84;N;1,694861;41,342;13/11/2023 12:52;1,455;;;;;1,455;;;;;;;;;;;;ABOS;P;dm;L-D: 24H;L-D: 24H (D);
BERIAIN;31191;POLIGONO ERREKALDEA A, 3;D;-1,630694;42,737417;13/11/2023 17:54;;;;;;1,469;;;;;;;;;;;;ABYCER;P;dm;L-V: 08:30-13:30 y 15:30-18:30;Sin datos;
ALGARINEJO;18280;CARRETERA LOJA-PRIEGO DE CORDOBA KM. 36;D;-4,158111;37,339278;13/11/2023 23:00;1,465;;;;;1,475;;1,129;;;;;;;;;;ACEITES ALGARINEJO SCA;R;dm;L-D: 07:00-22:00;"L-S: 07:00-22:00 (A); D: 07:00-22:00 (D)";
VILLANUEVA DE LA REINA;23730;J-231 km 0,700;I;-3,905028;38,009333;14/11/2023 14:03;1,518;;;;;1,494;;1,153;;;;;;;;;;ACEITES GUADALQUIVIR;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);
VINUELA;29713;CALLE CORRALON, 11;D;-4,197889;36,869917;13/11/2023 21:11;1,616;;;;;1,564;;1,155;;;;;;;;;;ACEITES LOS ROMANES;R;dm;L-D: 24H;L-D: 24H (A);
GUIJO DE GRANADILLA;10665;PARAJE ARENAS, SN;D;-6,171833;40,196889;13/11/2023 18:01;1,529;;;;;1,549;;;;;;;;;;;;ACEITUNERA GRANADILLA;P;dm;L: 24H;L: 24H (D);
MORA;45400;CARRETERA TEMBLEQUE KM. S/N;D;-3,758361;39,686111;14/11/2023 19:11;;;;;;1,449;;1,109;;;;;;;;;;ACEVIN;R;dm;L-D: 24H;L-D: 24H (A);
CALAHORRA;26500;CARRETERA SAN ADRIAN S/N KM. ;D;-1,953694;42,31225;13/11/2023 11:00;1,619;;;1,784;;1,594;1,644;1,194;;;;;;;;;;ADELFAS;P;dm;"L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00";Sin datos;
CALAHORRA;26500;POLIGONO TEJERIAS - TERMINO SAN LAZARO, 46;D;-1,955167;42,295361;13/11/2023 11:00;1,619;;;1,784;;1,594;1,644;;;;;0,939;;;;;;ADELFAS;P;dm;"L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00";Sin datos;
NAJERA;26300;CALLE SAN FERNANDO, 120;D;-2,71725;42,415861;13/11/2023 11:00;1,619;;;;;1,594;;;;;;;;;;;;ADELFAS;P;dm;L-D: 07:00-22:00;Sin datos;
QUEL;26570;POLIGONO LA MORETA, 4;N;-2,0635;42,233972;13/11/2023 11:00;1,619;;;1,784;;1,594;1,644;1,194;;;;;;;;;;ADELFAS;P;dm;"L-S: 07:00-22:00; D: 08:00-22:00";Sin datos;
